Episode,Mean Return
0,1.23
1,-2.138
2,1.974
3,12.406
4,15.352
5,10.57666667
6,15.672
7,25.99333333
8,12.56866667
9,12.14142857
10,13.36885714
11,10.54
12,3.412
13,18.656
14,13.35866667
15,16.076
16,12.5
17,17.036
18,12.982
19,16.13247619
20,14.14
21,12.404
22,25.14647619
23,17.03933333
24,12.23066667
25,22.832
26,15.31866667
27,24.89466667
28,11.93466667
29,16.40333333
30,27.27466667
31,24.058
32,27.158
33,27.93733333
34,16.02333333
35,18.46733333
36,12.706
37,18.25533333
38,15.466
39,16.688
40,10.552
41,10.242
42,14.93666667
43,16.222
44,13.834
45,14.358
46,13.79866667
47,15.46533333
48,17.79633333
49,18.8427619
50,29.13466667
51,21.494
52,17.55266667
53,21.36980952
54,25.238
55,20.77533333
56,23.49266667
57,26.90266667
58,23.21133333
59,30.52533333
60,16.48933333
61,19.562
62,21.48466667
63,21.29533333
64,21.94238095
65,20.84542857
66,17.502
67,19.59933333
68,17.36133333
69,19.79666667
70,9.974
71,23.548
72,14.11733333
73,17.51066667
74,14.78066667
75,21.62047619
76,13.74533333
77,11.658
78,15.27533333
79,18.95133333
80,17.01
81,15.21666667
82,19.794
83,13.038
84,9.696666667
85,15.334
86,15.46257143
87,18.79
88,18.056
89,20.462
90,17.567
91,17.242
92,11.104
93,13.994
94,14.49333333
95,14.726
96,17.866
97,7.756
98,14.47
99,19.026
